step,Time,Hour,Minute,minute_of_day,pv_kw,energy_kwh
0,00:00,0,0,0,0.0,0.0
1,00:15,0,15,15,0.0,0.0
2,00:30,0,30,30,0.0,0.0
3,00:45,0,45,45,0.0,0.0
4,01:00,1,0,60,0.0,0.0
5,01:15,1,15,75,0.0,0.0
6,01:30,1,30,90,0.0,0.0
7,01:45,1,45,105,0.0,0.0
8,02:00,2,0,120,0.0,0.0
9,02:15,2,15,135,0.0,0.0
10,02:30,2,30,150,0.0,0.0
11,02:45,2,45,165,0.0,0.0
12,03:00,3,0,180,0.0,0.0
13,03:15,3,15,195,0.0,0.0
14,03:30,3,30,210,0.0,0.0
15,03:45,3,45,225,0.0,0.0
16,04:00,4,0,240,0.0,0.0
17,04:15,4,15,255,0.0,0.0
18,04:30,4,30,270,0.0,0.0
19,04:45,4,45,285,0.0,0.0
20,05:00,5,0,300,0.0,0.0
21,05:15,5,15,315,0.0,0.0
22,05:30,5,30,330,0.0,0.0
23,05:45,5,45,345,0.0,0.0
24,06:00,6,0,360,0.165,0.04125
25,06:15,6,15,375,0.4894,0.12235
26,06:30,6,30,390,0.7954000000000001,0.19885000000000003
27,06:45,6,45,405,1.1182,0.27955
28,07:00,7,0,420,1.439,0.35975
29,07:15,7,15,435,1.7626,0.44065
30,07:30,7,30,450,2.0534,0.51335
31,07:45,7,45,465,2.334866666666666,0.5837166666666666
32,08:00,8,0,480,2.6272666666666664,0.6568166666666666
33,08:15,8,15,495,2.9155333333333333,0.7288833333333333
34,08:30,8,30,510,3.164,0.791
35,08:45,8,45,525,3.4042666666666666,0.8510666666666666
36,09:00,9,0,540,3.6374,0.90935
37,09:15,9,15,555,3.8536,0.9634
38,09:30,9,30,570,1.7033333333333334,0.42583333333333334
39,09:45,9,45,585,4.241266666666666,1.0603166666666666
40,10:00,10,0,600,4.402866666666666,1.1007166666666666
41,10:15,10,15,615,4.556466666666666,1.1391166666666666
42,10:30,10,30,630,4.669666666666667,1.1674166666666668
43,10:45,10,45,645,4.773066666666667,1.1932666666666667
44,11:00,11,0,660,4.8776,1.2194
45,11:15,11,15,675,4.934266666666667,1.2335666666666667
46,11:30,11,30,690,4.9744,1.2436
47,11:45,11,45,705,5.001066666666667,1.2502666666666669
48,12:00,12,0,720,5.001266666666667,1.2503166666666667
49,12:15,12,15,735,1.8494666666666668,0.4623666666666667
50,12:30,12,30,750,3.852933333333333,0.9632333333333333
51,12:45,12,45,765,4.874733333333333,1.2186833333333333
52,13:00,13,0,780,4.788666666666667,1.1971666666666667
53,13:15,13,15,795,4.673533333333333,1.1683833333333333
54,13:30,13,30,810,4.561466666666666,1.1403666666666665
55,13:45,13,45,825,4.415,1.10375
56,14:00,14,0,840,4.254133333333333,1.0635333333333332
57,14:15,14,15,855,4.074666666666667,1.0186666666666668
58,14:30,14,30,870,3.8710666666666667,0.9677666666666667
59,14:45,14,45,885,3.6597999999999997,0.9149499999999999
60,15:00,15,0,900,2.3754666666666666,0.5938666666666667
61,15:15,15,15,915,3.192466666666667,0.7981166666666667
62,15:30,15,30,930,2.926133333333333,0.7315333333333333
63,15:45,15,45,945,2.6473999999999998,0.6618499999999999
64,16:00,16,0,960,2.3568,0.5892
65,16:15,16,15,975,2.0647333333333333,0.5161833333333333
66,16:30,16,30,990,1.785,0.44625
67,16:45,16,45,1005,1.459,0.36475
68,17:00,17,0,1020,1.148,0.287
69,17:15,17,15,1035,0.8217333333333333,0.20543333333333333
70,17:30,17,30,1050,0.4999333333333333,0.12498333333333332
71,17:45,17,45,1065,0.17186666666666667,0.04296666666666667
72,18:00,18,0,1080,0.0,0.0
73,18:15,18,15,1095,0.0,0.0
74,18:30,18,30,1110,0.0,0.0
75,18:45,18,45,1125,0.0,0.0
76,19:00,19,0,1140,0.0,0.0
77,19:15,19,15,1155,0.0,0.0
78,19:30,19,30,1170,0.0,0.0
79,19:45,19,45,1185,0.0,0.0
80,20:00,20,0,1200,0.0,0.0
81,20:15,20,15,1215,0.0,0.0
82,20:30,20,30,1230,0.0,0.0
83,20:45,20,45,1245,0.0,0.0
84,21:00,21,0,1260,0.0,0.0
85,21:15,21,15,1275,0.0,0.0
86,21:30,21,30,1290,0.0,0.0
87,21:45,21,45,1305,0.0,0.0
88,22:00,22,0,1320,0.0,0.0
89,22:15,22,15,1335,0.0,0.0
90,22:30,22,30,1350,0.0,0.0
91,22:45,22,45,1365,0.0,0.0
92,23:00,23,0,1380,0.0,0.0
93,23:15,23,15,1395,0.0,0.0
94,23:30,23,30,1410,0.0,0.0
95,23:45,23,45,1425,0.0,0.0
