Time,battery_power_kw,battery_status,battery_energy_change_kwh,battery_energy_kwh,soc_percent
00:00,-5.000000,Charging,1.187500,11.187500,55.937500
00:15,3.250000,Discharging,-0.855263,10.332237,51.661184
00:30,-5.000000,Charging,1.187500,11.519737,57.598684
00:45,-5.000000,Charging,1.187500,12.707237,63.536184
01:00,-4.042993,Charging,0.960211,13.667448,68.337238
01:15,-1.010458,Charging,0.239984,13.907431,69.537157
01:30,-5.000000,Charging,1.187500,15.094931,75.474657
01:45,-4.602813,Charging,1.093168,16.188100,80.940498
02:00,-5.000000,Charging,1.187500,17.375600,86.877998
02:15,-2.629055,Charging,0.624400,18.000000,90.000000
02:30,-0.000000,Idling,0.000000,18.000000,90.000000
02:45,-0.000000,Idling,0.000000,18.000000,90.000000
03:00,-0.000000,Idling,0.000000,18.000000,90.000000
03:15,3.250000,Discharging,-0.855263,17.144737,85.723684
03:30,3.250000,Discharging,-0.855263,16.289474,81.447368
03:45,-5.000000,Charging,1.187500,17.476974,87.384868
04:00,-2.202216,Charging,0.523026,18.000000,90.000000
04:15,-0.000000,Idling,0.000000,18.000000,90.000000
04:30,-0.000000,Idling,0.000000,18.000000,90.000000
04:45,-0.000000,Idling,0.000000,18.000000,90.000000
05:00,-0.000000,Idling,0.000000,18.000000,90.000000
05:15,-0.000000,Idling,0.000000,18.000000,90.000000
05:30,-0.000000,Idling,0.000000,18.000000,90.000000
05:45,-0.000000,Idling,0.000000,18.000000,90.000000
06:00,-0.000000,Idling,0.000000,18.000000,90.000000
06:15,-0.000000,Idling,0.000000,18.000000,90.000000
06:30,2.454600,Discharging,-0.645947,17.354053,86.770263
06:45,-2.719778,Charging,0.645947,18.000000,90.000000
07:00,-0.000000,Idling,0.000000,18.000000,90.000000
07:15,1.487400,Discharging,-0.391421,17.608579,88.042895
07:30,-1.648089,Charging,0.391421,18.000000,90.000000
07:45,-0.000000,Idling,0.000000,18.000000,90.000000
08:00,-0.000000,Idling,0.000000,18.000000,90.000000
08:15,0.334470,Discharging,-0.088018,17.911982,89.559908
08:30,0.086000,Discharging,-0.022632,17.889350,89.446750
08:45,-0.152650,Charging,0.036254,17.925604,89.628022
09:00,-0.313244,Charging,0.074396,18.000000,90.000000
09:15,0.000000,Idling,0.000000,18.000000,90.000000
09:30,1.546670,Discharging,-0.407018,17.592982,87.964908
09:45,0.000000,Idling,0.000000,17.592982,87.964908
10:00,-0.432141,Charging,0.102634,17.695615,88.478075
10:15,-1.281621,Charging,0.304385,18.000000,90.000000
10:30,-0.000000,Idling,0.000000,18.000000,90.000000
10:45,0.000000,Idling,0.000000,18.000000,90.000000
11:00,-0.000000,Idling,0.000000,18.000000,90.000000
11:15,0.000000,Idling,0.000000,18.000000,90.000000
11:30,0.000000,Idling,0.000000,18.000000,90.000000
11:45,-0.000000,Idling,0.000000,18.000000,90.000000
12:00,-0.000000,Idling,0.000000,18.000000,90.000000
12:15,-0.000000,Idling,0.000000,18.000000,90.000000
12:30,-0.000000,Idling,0.000000,18.000000,90.000000
12:45,-0.000000,Idling,0.000000,18.000000,90.000000
13:00,0.000000,Idling,0.000000,18.000000,90.000000
13:15,0.000000,Idling,0.000000,18.000000,90.000000
13:30,0.000000,Idling,0.000000,18.000000,90.000000
13:45,-0.000000,Idling,0.000000,18.000000,90.000000
14:00,-0.000000,Idling,0.000000,18.000000,90.000000
14:15,-0.000000,Idling,0.000000,18.000000,90.000000
14:30,-0.000000,Idling,0.000000,18.000000,90.000000
14:45,0.000000,Idling,0.000000,18.000000,90.000000
15:00,-0.000000,Idling,0.000000,18.000000,90.000000
15:15,0.057530,Discharging,-0.015139,17.984861,89.924303
15:30,0.323870,Discharging,-0.085229,17.899632,89.498158
15:45,-0.422604,Charging,0.100368,18.000000,90.000000
16:00,0.047938,Discharging,-0.012615,17.987385,89.936924
16:15,1.185270,Discharging,-0.311913,17.675472,88.377358
16:30,1.465000,Discharging,-0.385526,17.289945,86.449727
16:45,1.791000,Discharging,-0.471316,16.818630,84.093148
17:00,2.102000,Discharging,-0.553158,16.265472,81.327358
17:15,2.428270,Discharging,-0.639018,15.626453,78.132266
17:30,2.750070,Discharging,-0.723703,14.902751,74.513753
17:45,3.078130,Discharging,-0.810034,14.092716,70.463582
18:00,3.250000,Discharging,-0.855263,13.237453,66.187266
18:15,3.250000,Discharging,-0.855263,12.382190,61.910950
18:30,3.250000,Discharging,-0.855263,11.526927,57.634635
18:45,3.250000,Discharging,-0.855263,10.671664,53.358319
19:00,3.250000,Discharging,-0.855263,9.816401,49.082003
19:15,3.250000,Discharging,-0.855263,8.961137,44.805687
19:30,3.250000,Discharging,-0.855263,8.105874,40.529372
19:45,3.250000,Discharging,-0.855263,7.250611,36.253056
20:00,3.250000,Discharging,-0.855263,6.395348,31.976740
20:15,3.250000,Discharging,-0.855263,5.540085,27.700424
20:30,3.250000,Discharging,-0.855263,4.684822,23.424108
20:45,2.602322,Discharging,-0.684822,4.000000,20.000000
21:00,0.000000,Idling,0.000000,4.000000,20.000000
21:15,0.000000,Idling,0.000000,4.000000,20.000000
21:30,0.000000,Idling,0.000000,4.000000,20.000000
21:45,0.000000,Idling,0.000000,4.000000,20.000000
22:00,-3.157895,Charging,0.750000,4.750000,23.750000
22:15,-3.157895,Charging,0.750000,5.500000,27.500000
22:30,-3.157895,Charging,0.750000,6.250000,31.250000
22:45,-3.157895,Charging,0.750000,7.000000,35.000000
23:00,-3.157895,Charging,0.750000,7.750000,38.750000
23:15,-3.157895,Charging,0.750000,8.500000,42.500000
23:30,-3.157895,Charging,0.750000,9.250000,46.250000
23:45,-3.157895,Charging,0.750000,10.000000,50.000000
